    CPU_1(%)   CPU_2(%)  CPU_3(%) CPU_4(%)
	 33.7 		 9.0		29.3		5.0
	 34.7 		 6.9		28.7		4.0
	 30.7 		 7.0		25.7		4.0
	 36.3 		 9.0		32.7		6.0
	 42.6 		 11.0		32.3		7.9
	 94.0 		 52.5		92.1		40.2
	 39.0 		 13.9		31.3		9.9
	 34.7 		 8.0		29.0		5.9
	 39.0 		 9.0		32.0		6.9
	 37.6 		 7.9		30.0		6.0
	 63.4 		 22.8		58.4		20.6
	 37.6 		 9.9		31.7		5.0
	 34.0 		 6.0		29.0		4.0
	 34.7 		 8.9		30.4		5.0
	 34.3 		 8.8		29.0		5.0
	 34.7 		 7.8		28.7		4.0
	 40.6 		 15.0		34.0		9.1
	 36.6 		 9.0		29.0		5.9
	 37.3 		 8.9		28.7		5.9
	 39.0 		 11.8		34.3		7.9
	 36.0 		 10.0		32.7		6.0
	 39.0 		 8.9		33.7		5.1
	 42.0 		 11.9		37.6		7.0
	 38.4 		 9.9		34.0		6.0
	 43.0 		 12.7		37.0		9.1
	 41.0 		 7.0		34.7		6.9
	 41.6 		 10.0		33.7		7.0
	 39.0 		 8.9		33.7		7.0
	 40.0 		 11.0		35.0		7.0
	 39.4 		 10.0		34.0		5.9
	 39.6 		 10.9		34.3		6.9
	 39.0 		 9.0		31.0		5.9
	 41.6 		 11.1		38.0		8.8
	 40.0 		 7.9		32.7		6.0
	 51.0 		 17.0		42.0		11.0
	 52.0 		 23.8		44.6		20.8
	 38.0 		 8.9		32.0		5.9
	 33.7 		 6.9		28.7		5.0
	 33.7 		 5.1		28.7		5.9
	 34.3 		 7.9		28.0		5.9
	 40.0 		 8.9		34.7		7.0
	 32.7 		 7.0		27.7		5.9
	 33.0 		 7.0		27.7		3.0
	 40.0 		 8.9		30.4		5.0
	 37.0 		 8.0		32.7		4.0
	 35.0 		 7.8		30.0		4.0
	 37.0 		 8.9		30.0		5.0
	 37.6 		 9.9		31.0		5.0
	 40.0 		 9.9		33.7		6.9
	 38.6 		 9.9		32.7		5.9
	 35.6 		 8.9		30.3		4.0
	 51.5 		 16.0		46.5		11.0
	 44.0 		 9.9		34.0		6.0
	 40.0 		 10.9		35.0		6.0
	 45.0 		 9.9		37.0		8.9
	 39.0 		 8.9		31.7		5.9
	 43.6 		 15.0		37.0		9.1
	 41.6 		 9.0		30.3		6.0
	 38.6 		 9.0		33.0		5.9
	 40.0 		 10.9		33.7		6.9
	 36.6 		 8.9		30.4		5.0
	 38.6 		 8.0		32.0		5.0
	 36.6 		 7.1		31.7		5.0
	 38.4 		 7.9		30.0		5.0
	 36.6 		 9.1		33.0		5.9
	 45.5 		 10.0		35.6		8.0
	 38.2 		 8.1		30.7		4.0
	 38.0 		 7.0		30.0		4.0
	 35.0 		 7.1		29.7		4.0
	 40.4 		 11.8		34.7		5.9
	 36.6 		 7.0		29.0		5.0
	 49.5 		 13.1		42.6		10.0
	 35.0 		 7.0		28.7		5.9
	 20.0 		 4.0		21.8		2.0
	 21.8 		 3.0		21.0		2.0
	 21.0 		 5.0		21.0		3.0
	 21.0 		 4.0		20.0		3.0
	 23.0 		 5.0		20.8		3.0
	 53.0 		 13.0		37.6		7.0
	 18.0 		 3.0		20.0		2.0
	 19.0 		 4.9		21.0		2.9
	 31.0 		 8.0		30.7		6.0
	 17.0 		 5.0		20.6		1.0
	 18.0 		 5.0		20.8		2.0
	 22.0 		 5.0		21.8		3.0
	 19.0 		 5.0		22.5		3.0
	 20.6 		 4.0		21.0		2.0
	 21.8 		 3.0		20.2		2.0
	 20.0 		 4.0		20.8		3.0
	 21.8 		 3.0		20.2		2.9
	 24.0 		 5.0		22.5		3.0
	 17.8 		 4.0		20.8		2.0
	 24.0 		 5.0		21.8		2.0
	 21.8 		 4.9		22.0		3.0
	 26.0 		 8.9		27.0		5.1
	 22.8 		 4.0		21.0		3.0
	 18.0 		 4.0		19.8		2.0
	 20.0 		 4.0		22.0		2.0
	 26.0 		 5.0		22.8		3.0
	 20.0 		 4.9		20.0		2.0
	 19.0 		 5.0		21.8		2.0
	 21.8 		 3.0		21.8		3.0
	 19.0 		 5.0		20.0		2.0
	 17.8 		 4.0		21.0		1.0
	 20.0 		 5.0		20.8		2.0
	 19.0 		 3.0		20.0		1.0
	 71.3 		 12.9		55.6		14.9
	 17.8 		 3.0		19.0		2.0
	 19.0 		 5.0		19.8		2.0
	 16.0 		 5.0		20.0		2.0
	 16.8 		 3.0		19.8		1.0
	 18.8 		 3.0		21.8		2.0
	 16.8 		 4.0		19.8		2.0
	 16.8 		 4.0		20.8		1.0
	 18.0 		 5.0		20.8		3.0
	 17.8 		 4.0		19.8		2.0
	 16.8 		 3.0		20.8		2.0
	 18.8 		 4.0		20.0		2.0
	 17.0 		 4.0		20.6		1.0
	 16.8 		 3.0		20.0		2.0
	 25.0 		 8.9		28.4		5.9
	 15.7 		 3.0		20.0		2.0
	 29.4 		 16.8		32.0		11.0
	 15.7 		 4.9		19.0		1.0
	 14.0 		 3.0		19.6		2.0
	 14.9 		 3.0		19.8		2.0
	 17.0 		 5.0		23.5		3.9
	 14.0 		 3.0		19.0		2.0
	 14.0 		 3.0		19.0		1.0
	 15.7 		 3.0		19.8		2.0
	 20.8 		 8.0		24.8		6.0
	 14.9 		 4.0		20.8		2.0
	 14.9 		 4.9		20.0		1.0
	 18.8 		 4.0		21.8		2.0
	 18.8 		 3.0		20.2		2.0
	 18.8 		 5.0		22.0		2.0
	 47.5 		 13.1		45.5		10.0
	 59.0 		 14.0		54.5		9.9
	 62.4 		 14.0		57.4		11.9
	 54.5 		 14.0		55.4		10.9
	 52.5 		 15.0		47.5		12.9
	 83.2 		 31.7		83.2		31.0
	 64.4 		 13.0		61.6		12.9
	 43.6 		 9.0		38.2		6.0
	 68.0 		 15.0		64.0		11.9
	 64.0 		 14.0		59.0		12.0
	 36.6 		 6.0		31.0		4.0
	 37.0 		 5.9		33.7		5.9
	 63.0 		 9.0		50.5		8.1
	 35.6 		 8.9		32.7		6.0
	 27.7 		 5.9		26.5		4.9
	 28.7 		 7.0		25.3		5.0
	 34.0 		 9.8		32.7		5.9
	 53.0 		 12.1		50.5		9.9
	 34.7 		 6.9		34.7		5.9
	 52.0 		 12.9		50.0		9.0
	 57.4 		 14.0		52.0		9.1
	 52.5 		 17.0		49.5		13.0
	 31.7 		 9.9		30.0		6.0
	 22.0 		 6.0		22.0		3.0
	 22.0 		 5.0		22.8		2.0
	 27.0 		 6.0		27.0		4.0
	 25.0 		 5.0		24.8		3.0
	 22.8 		 4.0		23.8		3.0
	 21.8 		 5.0		22.0		2.0
	 41.0 		 8.9		36.6		6.9
	 23.0 		 5.0		22.8		2.0
	 34.0 		 6.9		29.0		5.0
	 20.0 		 5.0		21.8		2.0
	 34.0 		 8.0		34.7		6.9
	 30.7 		 5.9		26.0		5.0
	 31.7 		 6.9		28.7		4.0
	 27.7 		 6.9		27.7		5.9
	 20.0 		 5.9		22.8		2.0
	 20.0 		 4.0		21.8		3.0
	 21.8 		 5.0		22.0		3.0
	 39.0 		 13.9		35.4		9.8
	 22.8 		 5.9		23.0		3.0
	 21.0 		 3.0		20.8		2.0
	 67.0 		 10.9		50.0		11.9
	 24.8 		 5.0		22.2		3.0
	 22.5 		 5.0		23.0		3.0
	 20.2 		 4.0		22.0		2.0
	 21.0 		 5.0		22.0		3.0
	 23.0 		 5.0		23.8		3.0
	 33.7 		 8.9		29.7		5.9
	 50.0 		 16.8		48.0		12.9
	 61.0 		 18.8		55.4		14.0
	 27.5 		 7.1		26.5		5.0
	 22.8 		 5.0		22.8		3.0
	 18.8 		 4.0		20.8		2.0
	 20.8 		 3.0		21.0		3.0
	 33.0 		 6.0		29.7		5.0
	 28.7 		 11.9		29.7		7.0
	 22.0 		 5.0		21.8		3.0
	 20.0 		 3.0		20.8		2.0
	 19.2 		 4.0		21.6		1.0
	 19.8 		 5.0		21.0		2.0
	 20.2 		 5.0		22.8		2.0
	 20.8 		 5.0		22.0		3.0
	 19.8 		 4.0		21.8		1.0
	 21.6 		 4.0		22.0		2.0
	 19.0 		 5.0		20.2		2.0
	 22.5 		 5.0		23.0		3.0
	 21.0 		 5.9		22.0		3.0
	 20.0 		 5.0		20.2		3.0
	 19.8 		 5.0		21.0		2.0
	 19.2 		 5.0		21.0		3.0
	 38.6 		 11.9		37.6		9.0
	 51.0 		 23.8		46.5		17.0
	 77.2 		 17.0		64.0		16.8
	 21.0 		 5.0		22.8		2.0
	 22.0 		 5.9		22.0		3.0
	 20.8 		 5.0		22.8		3.0
	 17.0 		 5.0		19.8		2.0
	 18.8 		 3.0		21.8		3.0
	 18.8 		 4.0		20.0		2.0
	 74.3 		 23.8		53.5		13.0
	 26.5 		 5.0		25.7		4.0
	 18.0 		 5.0		21.0		2.0
	 24.8 		 5.9		25.0		2.0
	 20.8 		 4.0		20.8		2.9
	 31.0 		 7.1		30.7		5.9
	 22.0 		 5.0		22.8		3.0
	 23.0 		 5.0		23.0		2.0
	 20.8 		 4.0		20.8		1.0
	 26.0 		 6.0		26.7		3.0
	 42.0 		 7.0		38.0		6.9
	 35.6 		 7.0		29.7		5.0
	 26.7 		 6.0		25.0		4.0
	 33.0 		 7.0		29.0		5.0
	 27.7 		 6.0		25.7		3.0
	 34.3 		 8.0		30.7		6.0
	 27.0 		 5.1		25.7		4.0
	 32.4 		 6.0		28.7		4.0
	 26.7 		 5.1		24.8		4.0
	 26.0 		 5.9		25.0		3.0
	 27.0 		 6.9		26.0		4.0
	 33.0 		 5.9		25.7		4.0
	 28.7 		 5.0		26.0		4.0
	 36.0 		 8.0		32.4		7.0
	 25.0 		 5.9		25.0		4.0
	 31.7 		 6.0		27.7		4.0
	 36.6 		 6.9		31.7		5.9
	 31.0 		 6.0		27.7		3.0
	 26.7 		 6.9		25.7		4.0
	 21.0 		 5.0		21.0		3.0
